customer_id	email	first_name	last_name	registration_date	recency_days	frequency	monetary_value	avg_order_value	first_order_date	last_order_date	recency_score	frequency_score	monetary_score	rfm_segment	customer_segment
7744	teresa38@example.org	Katie	Mcclure	2023-02-25	29	12	22984.97	884.037308	2023-08-19	2025-08-16	2	1	1	211	Lost Customers
8371	corycross@example.net	Jacob	Smith	2024-10-21	12	21	22877.29	457.545800	2024-10-30	2025-09-02	1	1	1	111	Lost Customers
5442	mdavis@example.net	Matthew	Boyd	2023-09-23	258	10	19378.01	717.704074	2023-09-23	2024-12-30	4	1	1	411	New Customers
7293	irobertson@example.com	Tamara	Gutierrez	2023-12-16	30	10	19118.40	796.600000	2024-02-24	2025-08-15	2	1	1	211	Lost Customers
9450	boltonwilliam@example.com	Sydney	Turner	2023-06-08	106	9	18914.94	859.770000	2023-07-08	2025-05-31	3	1	1	311	Potential Loyalists
4982	wmcknight@example.com	Kelly	Murray	2024-11-12	62	8	18451.19	802.225652	2024-11-12	2025-07-14	2	1	1	211	Lost Customers
2311	marilyn62@example.org	Lori	Frey	2025-03-20	24	15	17628.62	568.665161	2025-03-26	2025-08-21	1	1	1	111	Lost Customers
2557	hrose@example.org	Scott	Berry	2024-12-18	7	8	17614.27	800.648636	2025-02-23	2025-09-07	1	1	1	111	Lost Customers
5361	julie17@example.com	Karen	Donovan	2022-04-06	95	8	17534.07	876.703500	2022-04-07	2025-06-11	3	1	1	311	Potential Loyalists
4088	sheltonpatrick@example.com	Brian	Fleming	2024-01-23	45	8	17525.60	701.024000	2024-11-19	2025-07-31	2	1	1	211	Lost Customers
749	cruzariel@example.org	Kathryn	Krueger	2021-12-27	123	10	17495.24	920.802105	2022-07-24	2025-05-14	3	1	1	311	Potential Loyalists
4012	derek48@example.com	Keith	Smith	2022-08-28	33	10	17420.71	829.557619	2022-12-10	2025-08-12	2	1	1	211	Lost Customers
9222	coxelizabeth@example.org	Stephanie	Oneal	2021-09-21	24	15	17320.32	509.421176	2021-11-04	2025-08-21	1	1	1	111	Lost Customers
1627	jmyers@example.net	Christopher	Melton	2024-12-26	18	11	17306.41	692.256400	2025-01-06	2025-08-27	1	1	1	111	Lost Customers
8777	williamspedro@example.org	Garrett	Simpson	2023-02-15	46	9	17269.41	750.843913	2023-02-20	2025-07-30	2	1	1	211	Lost Customers
2174	bjones@example.net	Ethan	Miller	2022-05-30	4	8	16979.45	808.545238	2022-12-05	2025-09-10	1	1	1	111	Lost Customers
7706	rebeccawarren@example.net	Jessica	Parks	2023-11-09	104	12	16888.94	603.176429	2024-04-03	2025-06-02	3	1	1	311	Potential Loyalists
4861	joneslevi@example.net	Evan	Walton	2024-03-17	7	8	16655.11	979.712353	2024-10-18	2025-09-07	1	1	1	111	Lost Customers
3424	susan01@example.net	Juan	Lewis	2022-05-24	312	8	16601.17	1037.573125	2022-05-30	2024-11-06	4	1	1	411	New Customers
9351	robert46@example.net	John	Glover	2023-04-27	26	9	16149.81	598.141111	2023-05-14	2025-08-19	1	1	1	111	Lost Customers
9887	adavis@example.com	Carla	Reed	2021-12-23	9	16	16086.17	554.695517	2022-01-07	2025-09-05	1	1	1	111	Lost Customers
2398	christie55@example.org	Katrina	Osborne	2023-05-27	49	11	15881.46	467.101765	2023-06-02	2025-07-27	2	1	1	211	Lost Customers
4671	omarortiz@example.com	Christopher	Graves	2023-05-20	24	10	15380.18	569.636296	2023-08-13	2025-08-21	1	1	1	111	Lost Customers
9596	garciasusan@example.com	Michael	Johnson	2023-09-15	145	8	15316.85	696.220455	2023-12-05	2025-04-22	3	1	1	311	Potential Loyalists
2098	wrightryan@example.net	Robert	Welch	2024-01-12	152	7	15305.28	637.720000	2024-03-03	2025-04-15	3	1	1	311	Potential Loyalists
